,number,value,datetime_start,datetime_complete,duration,params_l2_regularization,params_learning_rate,params_loss,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,params_n_iter_no_change,params_tol,state
73,73,-0.5675162855600949,2021-07-13 23:43:05.985100,2021-07-13 23:43:45.697431,0 days 00:00:39.712331,0.35135045729233955,0.7504015588843423,least_squares,178,4,88,17,3.6793386530333187e-09,COMPLETE
74,74,-0.5622566393150459,2021-07-13 23:43:45.700219,2021-07-13 23:44:13.983203,0 days 00:00:28.282984,0.4715005717324618,0.8378796526228872,least_squares,157,15,94,19,5.354844089785141e-10,COMPLETE
75,75,-0.5599256596018819,2021-07-13 23:44:13.991592,2021-07-13 23:44:35.090529,0 days 00:00:21.098937,0.5669720050291785,0.8862521074290746,least_squares,170,25,100,4,2.47289810994728e-10,COMPLETE
76,76,-0.5622680250182169,2021-07-13 23:44:35.093623,2021-07-13 23:45:03.263585,0 days 00:00:28.169962,0.3948628421830566,0.9949903218257865,least_squares,187,7,85,15,1.0577595329514998e-10,COMPLETE
77,77,-0.5719984084792655,2021-07-13 23:45:03.266630,2021-07-13 23:46:00.817865,0 days 00:00:57.551235,0.4331008097411061,0.18893120369283262,least_squares,192,12,97,11,8.844651369085582e-10,COMPLETE
78,78,-0.5714598882501734,2021-07-13 23:46:00.820742,2021-07-13 23:47:04.639478,0 days 00:01:03.818736,0.2068492981086626,0.16849339579651246,least_squares,189,11,97,11,1.5116913246637337e-09,COMPLETE
79,79,-0.5720564591916143,2021-07-13 23:47:04.647713,2021-07-13 23:47:53.008700,0 days 00:00:48.360987,0.193716324440832,0.24983142305383754,least_squares,199,19,91,11,1.7523234650242622e-08,COMPLETE
80,80,-0.509781752699247,2021-07-13 23:47:53.011579,2021-07-13 23:48:43.092745,0 days 00:00:50.081166,0.15598236747720873,0.1414164749498037,least_absolute_deviation,196,20,82,10,5.088342834003646e-08,COMPLETE
81,81,-0.5745633408474856,2021-07-13 23:48:43.102165,2021-07-13 23:49:45.132669,0 days 00:01:02.030504,0.19825366980568968,0.1927493639672232,least_squares,193,12,90,11,1.4840023189686097e-08,COMPLETE
82,82,-0.5715691463703266,2021-07-13 23:49:45.140743,2021-07-13 23:50:37.386440,0 days 00:00:52.245697,0.21987209038799177,0.1979683188625484,least_squares,200,16,90,8,1.888482984709295e-08,COMPLETE
83,83,-0.5735646038323716,2021-07-13 23:50:37.389341,2021-07-13 23:51:34.811467,0 days 00:00:57.422126,0.2338442963032865,0.18486655504852045,least_squares,192,17,90,8,1.818710794736724e-08,COMPLETE
84,84,-0.572150161877182,2021-07-13 23:51:34.819412,2021-07-13 23:52:31.752734,0 days 00:00:56.933322,0.20966207535094986,0.1930976940317832,least_squares,192,25,92,7,2.1324816614317982e-08,COMPLETE
85,85,-0.5709352792201272,2021-07-13 23:52:31.761734,2021-07-13 23:53:24.129953,0 days 00:00:52.368219,0.21106761962056733,0.20273691243162673,least_squares,191,25,90,7,7.554610312910457e-08,COMPLETE
86,86,-0.5694015432477403,2021-07-13 23:53:24.132867,2021-07-13 23:54:02.228450,0 days 00:00:38.095583,0.10891239701384353,0.33650260466262766,least_squares,200,28,76,8,2.2591363189817797e-07,COMPLETE
87,87,-0.5675065339142462,2021-07-13 23:54:02.235367,2021-07-13 23:55:12.622803,0 days 00:01:10.387436,0.1707268653642195,0.12814932770315085,least_squares,192,34,84,6,1.8774492193632408e-08,COMPLETE
88,88,-0.5709289835971937,2021-07-13 23:55:12.634127,2021-07-13 23:56:06.468956,0 days 00:00:53.834829,0.24378034821184352,0.17580831379993875,least_squares,183,17,93,8,1.3646421296434514e-06,COMPLETE
89,89,-0.5717541721243572,2021-07-13 23:56:06.471826,2021-07-13 23:58:12.988347,0 days 00:02:06.516521,0.1008169747894523,0.09071810183598565,least_squares,199,22,87,11,1.1045628843318209e-08,COMPLETE
90,90,-0.5689978958819399,2021-07-13 23:58:12.991470,2021-07-14 00:00:21.979088,0 days 00:02:08.987618,0.03940698734963324,0.07493352247062413,least_squares,200,23,13,11,1.766001231992144e-08,COMPLETE
91,91,-0.5717329852020585,2021-07-14 00:00:21.982217,2021-07-14 00:01:07.576492,0 days 00:00:45.594275,0.10074079261005396,0.26089188855054746,least_squares,194,20,87,9,3.97201635675972e-08,COMPLETE
